productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,extDefenseValue,extCost,extPitchValue,extPower,extFlavorText
489272,Inertia Trap (Red),Inertia Trap Red,https://tcgplayer-cdn.tcgplayer.com/product/489272_200w.jpg,62,22902,https://cpt.tcgcsv.com/sKW5,2023-03-24T04:03:16.763,1,0.25,0.25,0.25,0.49,,Normal,Common,RIP010,Defense Reaction,Trap,Ranger;Assassin,,,3,0,1,,
489273,Boulder Trap (Yellow),Boulder Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/489273_200w.jpg,62,22902,https://cpt.tcgcsv.com/tKW5,2024-12-11T20:55:12.03,1,0.25,0.47,0.48,,,Normal,Rare,RIP011,Defense Reaction,Trap,Ranger,,,3,2,2,,
489275,Tarpit Trap (Yellow),Tarpit Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/489275_200w.jpg,62,22902,https://cpt.tcgcsv.com/wKW5,2024-12-11T20:55:12.077,1,,,,,,,Rare,RIP013,Defense Reaction,Trap,Ranger,,,3,2,2,,
489277,Falcon Wing (Red),Falcon Wing Red,https://tcgplayer-cdn.tcgplayer.com/product/489277_200w.jpg,62,22902,https://cpt.tcgcsv.com/zKW5,2024-12-11T20:55:12.11,1,0.47,0.48,0.48,,,Normal,Common,RIP014,Action,Arrow Attack,Ranger,,,3,1,1,3,
489278,Hemorrhage Bore (Red),Hemorrhage Bore Red,https://tcgplayer-cdn.tcgplayer.com/product/489278_200w.jpg,62,22902,https://cpt.tcgcsv.com/BKW5,2023-03-24T04:03:16.763,1,0.15,0.47,0.48,0.2,,Normal,Common,RIP015,Action,Arrow Attack,Ranger,,,3,1,1,5,
489279,Murkmire Grapnel (Red),Murkmire Grapnel Red,https://tcgplayer-cdn.tcgplayer.com/product/489279_200w.jpg,62,22902,https://cpt.tcgcsv.com/CKW5,2023-03-24T04:03:16.763,1,0.48,0.48,0.48,0.25,,Normal,Common,RIP016,Action,Arrow Attack,Ranger,,,3,0,1,4,
489280,Salvage Shot (Red),Salvage Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/489280_200w.jpg,62,22902,https://cpt.tcgcsv.com/DKW5,2023-03-24T04:03:16.763,1,0.15,0.36,0.48,,,Normal,Common,RIP017,Action,Arrow Attack,Ranger,,,3,1,1,5,
489281,Searing Shot (Red),Searing Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/489281_200w.jpg,62,22902,https://cpt.tcgcsv.com/FKW5,2023-03-24T04:03:16.763,1,0.49,0.49,0.49,0.25,,Normal,Common,RIP018,Action,Arrow Attack,Ranger,,,3,0,1,4,
489282,Sedation Shot (Red),Sedation Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/489282_200w.jpg,62,22902,https://cpt.tcgcsv.com/GKW5,2023-03-24T04:03:16.763,1,0.47,0.48,0.48,,,Normal,Common,RIP019,Action,Arrow Attack,Ranger,,,3,1,1,5,
489284,Withering Shot (Red),Withering Shot Red,https://tcgplayer-cdn.tcgplayer.com/product/489284_200w.jpg,62,22902,https://cpt.tcgcsv.com/JKW5,2023-03-24T04:03:16.763,1,0.25,0.47,0.48,,,Normal,Common,RIP020,Action,Arrow Attack,Ranger,,,3,1,1,5,
489285,Ravenous Rabble (Red),Ravenous Rabble Red,https://tcgplayer-cdn.tcgplayer.com/product/489285_200w.jpg,62,22902,https://cpt.tcgcsv.com/KKW5,2023-03-24T04:03:16.763,1,0.25,0.49,0.69,,,Normal,Common,RIP021,Action,Attack,Generic,,,2,0,1,5,
489287,Increase the Tension (Red),Increase the Tension Red,https://tcgplayer-cdn.tcgplayer.com/product/489287_200w.jpg,62,22902,https://cpt.tcgcsv.com/MKW5,2025-03-17T16:51:44.527,1,0.25,0.47,0.48,,,Normal,Common,RIP022,Action,,Ranger,,,2,1,1,,
489288,Scout the Periphery (Red),Scout the Periphery Red,https://tcgplayer-cdn.tcgplayer.com/product/489288_200w.jpg,62,22902,https://cpt.tcgcsv.com/NKW5,2023-03-24T04:03:16.763,1,0.15,0.36,0.48,0.25,,Normal,Common,RIP023,Action,,Generic,,,2,0,1,,
489290,Falcon Wing (Yellow),Falcon Wing Yellow,https://tcgplayer-cdn.tcgplayer.com/product/489290_200w.jpg,62,22902,https://cpt.tcgcsv.com/QKW5,2024-12-11T20:55:12.14,1,0.25,0.25,0.49,,,Normal,Common,RIP024,Action,Arrow Attack,Ranger,,,3,2,2,2,
489292,Infecting Shot (Yellow),Infecting Shot Yellow,https://tcgplayer-cdn.tcgplayer.com/product/489292_200w.jpg,62,22902,https://cpt.tcgcsv.com/SKW5,2024-12-11T20:55:12.187,1,0.35,0.47,0.48,,,Normal,Common,RIP025,Action,Arrow Attack,Ranger,,,3,2,2,4,
489295,Murkmire Grapnel (Yellow),Murkmire Grapnel Yellow,https://tcgplayer-cdn.tcgplayer.com/product/489295_200w.jpg,62,22902,https://cpt.tcgcsv.com/WKW5,2023-03-24T04:03:16.763,1,0.15,0.25,0.48,,,Normal,Common,RIP026,Action,Arrow Attack,Ranger,,,3,0,2,3,
489297,Scout the Periphery (Yellow),Scout the Periphery Yellow,https://tcgplayer-cdn.tcgplayer.com/product/489297_200w.jpg,62,22902,https://cpt.tcgcsv.com/ZKW5,2023-03-24T04:03:16.763,1,0.25,0.47,0.48,,,Normal,Common,RIP027,Action,,Generic,,,2,0,2,,
489299,Bloodrot Pox,Bloodrot Pox,https://tcgplayer-cdn.tcgplayer.com/product/489299_200w.jpg,62,22902,https://cpt.tcgcsv.com/_KW5,2023-03-24T04:03:16.763,1,0.49,0.49,0.49,0.3,,Normal,Common,RIP028,Token,Aura,Generic,,,,,,,"<em>""We are trumpeters of Their return, that even the deaf can hear Their footsteps drawing near.""-book of the raven, l'Apocalypta</em>"
489301,Frailty,Frailty,https://tcgplayer-cdn.tcgplayer.com/product/489301_200w.jpg,62,22902,https://cpt.tcgcsv.com/2LW5,2023-03-24T04:03:16.763,1,,,,,,,Token,RIP029,Token,Aura,Generic,,,,,,,"<em>""Alchemy draws you in with a deadly allure. The promise of deliverance, the costs yet unkown""-Achlys, hag of Mojire</em>"
489302,Inertia,Inertia,https://tcgplayer-cdn.tcgplayer.com/product/489302_200w.jpg,62,22902,https://cpt.tcgcsv.com/3LW5,2023-03-24T04:03:16.763,1,,,,,,,Token,RIP030,Token,Aura,Generic,,,,,,,"<em>""This? A lil set-back is all it is. All it will ever be.""-Dr. Mortimer</em>"
489305,Pendulum Trap (Yellow),Pendulum Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/489305_200w.jpg,62,22902,https://cpt.tcgcsv.com/7LW5,2024-12-11T20:55:12.22,1,0.25,0.25,0.49,,,Normal,Rare,RIP012,Defense Reaction,Trap,Ranger,,,3,2,2,,
