productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardSubType,extPower,extDefenseValue,extCost,extPitchValue
586570,Fast and Furious (Red),Fast and Furious Red,https://tcgplayer-cdn.tcgplayer.com/product/586570_200w.jpg,62,23738,https://cpt.tcgcsv.com/qFJ6,2024-10-18T04:08:17.58,1,Majestic,AIO009,Action,Mechanologist,,,8.3,11.0,12.88,8.71,,Normal,Attack,3,3,0,1
586570,Fast and Furious (Red),Fast and Furious Red,https://tcgplayer-cdn.tcgplayer.com/product/586570_200w.jpg,62,23738,https://cpt.tcgcsv.com/qFJ6,2024-10-18T04:08:17.58,1,Majestic,AIO009,Action,Mechanologist,,,8.0,11.55,24.99,10.24,,Rainbow Foil,Attack,3,3,0,1
586571,Maximum Velocity,Maximum Velocity,https://tcgplayer-cdn.tcgplayer.com/product/586571_200w.jpg,62,23738,https://cpt.tcgcsv.com/rFJ6,2024-12-02T19:30:59.447,1,Common,AIO010,Action,Mechanologist,,,0.49,0.81,2.05,0.83,,Normal,Attack,10,3,2,1
586572,Throttle (Red),Throttle Red,https://tcgplayer-cdn.tcgplayer.com/product/586572_200w.jpg,62,23738,https://cpt.tcgcsv.com/sFJ6,2024-10-18T04:08:17.58,1,Common,AIO011,Action,Mechanologist,,,0.4,0.47,1.0,0.27,,Normal,Attack,6,3,2,1
586573,Zero to Sixty (Red),Zero to Sixty Red,https://tcgplayer-cdn.tcgplayer.com/product/586573_200w.jpg,62,23738,https://cpt.tcgcsv.com/tFJ6,2024-10-18T04:08:17.58,1,Common,AIO012,Action,Mechanologist,,,0.28,0.35,1.59,0.25,,Normal,Attack,4,3,0,1
586574,Zipper Hit (Red),Zipper Hit Red,https://tcgplayer-cdn.tcgplayer.com/product/586574_200w.jpg,62,23738,https://cpt.tcgcsv.com/vFJ6,2024-10-18T04:08:17.58,1,Common,AIO013,Action,Mechanologist,,,0.43,0.48,1.0,0.27,,Normal,Attack,5,3,1,1
586575,Backup Protocol: RED (Red),Backup Protocol RED Red,https://tcgplayer-cdn.tcgplayer.com/product/586575_200w.jpg,62,23738,https://cpt.tcgcsv.com/wFJ6,2024-10-18T04:08:17.58,1,Common,AIO014,Action,Mechanologist,,,0.25,0.3,1.64,0.3,,Normal,Item,,,0,1
586576,Boom Grenade (Red),Boom Grenade Red,https://tcgplayer-cdn.tcgplayer.com/product/586576_200w.jpg,62,23738,https://cpt.tcgcsv.com/xFJ6,2024-10-18T04:08:17.58,1,Common,AIO015,Action,Mechanologist,,,0.31,0.37,1.64,0.36,,Normal,Item,,,0,1
586577,Convection Amplifier (Red),Convection Amplifier Red,https://tcgplayer-cdn.tcgplayer.com/product/586577_200w.jpg,62,23738,https://cpt.tcgcsv.com/zFJ6,2024-10-18T04:08:17.58,1,Rare,AIO016,Action,Mechanologist,,,2.21,2.61,3.0,2.06,,Normal,Item,,,0,1
586578,Dissolving Shield (Red),Dissolving Shield Red,https://tcgplayer-cdn.tcgplayer.com/product/586578_200w.jpg,62,23738,https://cpt.tcgcsv.com/BFJ6,2024-10-18T04:08:17.58,1,Common,AIO017,Action,Mechanologist,,,0.05,0.21,1.0,0.26,,Normal,Item,,,0,1
586579,Zero to Sixty (Yellow),Zero to Sixty Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586579_200w.jpg,62,23738,https://cpt.tcgcsv.com/CFJ6,2024-10-18T04:08:17.58,1,Common,AIO018,Action,Mechanologist,,,0.22,0.25,1.0,0.22,,Normal,Attack,3,3,0,2
586580,Zipper Hit (Yellow),Zipper Hit Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586580_200w.jpg,62,23738,https://cpt.tcgcsv.com/DFJ6,2024-10-18T04:08:17.58,1,Common,AIO019,Action,Mechanologist,,,0.21,0.25,1.0,0.24,,Normal,Attack,4,3,1,2
586581,Boom Grenade (Yellow),Boom Grenade Yellow,https://tcgplayer-cdn.tcgplayer.com/product/586581_200w.jpg,62,23738,https://cpt.tcgcsv.com/FFJ6,2024-10-18T04:08:17.58,1,Common,AIO020,Action,Mechanologist,,,0.22,0.35,2.43,0.2,,Normal,Item,,,0,2
586582,Data Link (Blue),Data Link Blue,https://tcgplayer-cdn.tcgplayer.com/product/586582_200w.jpg,62,23738,https://cpt.tcgcsv.com/GFJ6,2024-10-18T04:08:17.58,1,Common,AIO021,Action,Mechanologist,,,0.05,0.16,1.0,,,Normal,Attack,1,3,0,3
586583,Expedite,Expedite,https://tcgplayer-cdn.tcgplayer.com/product/586583_200w.jpg,62,23738,https://cpt.tcgcsv.com/HFJ6,2024-10-18T04:08:17.58,1,Common,AIO022,Action,Mechanologist,,,0.1,0.21,1.0,0.17,,Normal,Attack,1,3,0,3
586584,Zero to Sixty (Blue),Zero to Sixty Blue,https://tcgplayer-cdn.tcgplayer.com/product/586584_200w.jpg,62,23738,https://cpt.tcgcsv.com/JFJ6,2024-10-18T04:08:17.58,1,Common,AIO023,Action,Mechanologist,,,0.25,0.3,1.59,0.24,,Normal,Attack,2,3,0,3
586585,Zipper Hit (Blue),Zipper Hit Blue,https://tcgplayer-cdn.tcgplayer.com/product/586585_200w.jpg,62,23738,https://cpt.tcgcsv.com/KFJ6,2024-10-18T04:08:17.58,1,Common,AIO024,Action,Mechanologist,,,0.22,0.25,1.0,0.27,,Normal,Attack,3,3,1,3
586586,Backup Protocol: BLU (Blue),Backup Protocol BLU Blue,https://tcgplayer-cdn.tcgplayer.com/product/586586_200w.jpg,62,23738,https://cpt.tcgcsv.com/LFJ6,2024-10-18T04:08:17.58,1,Common,AIO025,Action,Mechanologist,,,0.1,0.2,1.0,0.35,,Normal,Item,,,0,3
586587,Cerebellum Processor,Cerebellum Processor,https://tcgplayer-cdn.tcgplayer.com/product/586587_200w.jpg,62,23738,https://cpt.tcgcsv.com/MFJ6,2024-10-18T04:08:17.58,1,Majestic,AIO026,Action,Mechanologist,,,2.85,4.44,10.0,4.03,,Normal,Item,,,0,3
586587,Cerebellum Processor,Cerebellum Processor,https://tcgplayer-cdn.tcgplayer.com/product/586587_200w.jpg,62,23738,https://cpt.tcgcsv.com/MFJ6,2024-10-18T04:08:17.58,1,Majestic,AIO026,Action,Mechanologist,,,3.57,6.1,14.99,6.41,,Rainbow Foil,Item,,,0,3
586588,Steam Canister,Steam Canister,https://tcgplayer-cdn.tcgplayer.com/product/586588_200w.jpg,62,23738,https://cpt.tcgcsv.com/NFJ6,2024-10-18T04:08:17.58,1,Rare,AIO027,Action,Mechanologist,,,0.15,0.25,0.35,,,Normal,Item,,,0,3
