productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower,extDefenseValue,extCost,extPitchValue
617938,Incision (Red),Incision Red,https://tcgplayer-cdn.tcgplayer.com/product/617938_200w.jpg,62,24212,https://cpt.tcgcsv.com/NbZ6,2025-02-10T17:30:41.723,1,Common,ARK015,Attack Reaction,,Warrior;Assassin,,,0.2,0.25,0.5,0.19,,Normal,,3,0,1
617940,Razor Reflex (Red),Razor Reflex Red,https://tcgplayer-cdn.tcgplayer.com/product/617940_200w.jpg,62,24212,https://cpt.tcgcsv.com/QbZ6,2025-02-10T17:32:19.857,1,Rare,ARK016,Attack Reaction,,Generic,,,0.4,0.45,0.5,0.41,,Normal,,2,1,1
617941,Hunted or Hunter (Red),Hunted or Hunter Red,https://tcgplayer-cdn.tcgplayer.com/product/617941_200w.jpg,62,24212,https://cpt.tcgcsv.com/RbZ6,2025-02-10T17:33:10.11,1,Common,ARK017,Defense Reaction,Trap,Assassin,,,0.1,0.25,0.5,0.1,,Normal,,3,0,1
617943,Cut to the Chase (Yellow) (Extended Art),Cut to the Chase Yellow Extended Art,https://tcgplayer-cdn.tcgplayer.com/product/617943_200w.jpg,62,24212,https://cpt.tcgcsv.com/TbZ6,2025-02-10T17:34:59.853,1,Common,ARK018,Attack Reaction,,Assassin,,,1.61,1.75,5.0,1.83,,Normal,,3,0,2
617946,Annihilate the Armed (Blue),Annihilate the Armed Blue,https://tcgplayer-cdn.tcgplayer.com/product/617946_200w.jpg,62,24212,https://cpt.tcgcsv.com/XbZ6,2025-02-10T17:37:44.173,1,Common,ARK019,Action,Attack,Assassin,,,0.2,0.25,69420.69,,,Normal,3,3,1,3
617947,Nix the Nimble (Blue),Nix the Nimble Blue,https://tcgplayer-cdn.tcgplayer.com/product/617947_200w.jpg,62,24212,https://cpt.tcgcsv.com/ZbZ6,2025-03-03T19:58:02.727,1,Common,ARK020,Action,Attack,Assassin,,,0.19,0.23,0.5,0.2,,Normal,3,3,1,3
617948,Plunder the Poor (Blue),Plunder the Poor Blue,https://tcgplayer-cdn.tcgplayer.com/product/617948_200w.jpg,62,24212,https://cpt.tcgcsv.com/-bZ6,2025-02-10T17:42:14.213,1,Rare,ARK021,Action,Attack,Assassin,,,0.48,0.5,1.0,0.5,,Normal,2,3,0,3
617952,Cut to the Chase (Blue) (Extended Art),Cut to the Chase Blue Extended Art,https://tcgplayer-cdn.tcgplayer.com/product/617952_200w.jpg,62,24212,https://cpt.tcgcsv.com/3cZ6,2025-02-10T17:45:11.883,1,Common,ARK022,Attack Reaction,,Assassin,,,1.7,1.95,5.0,1.93,,Normal,,3,0,3
617953,Incision (Blue),Incision Blue,https://tcgplayer-cdn.tcgplayer.com/product/617953_200w.jpg,62,24212,https://cpt.tcgcsv.com/5cZ6,2025-02-10T17:46:04.253,1,Common,ARK023,Attack Reaction,,Warrior;Assassin,,,0.25,0.26,0.5,,,Normal,,3,0,3
617954,Razor Reflex (Blue),Razor Reflex Blue,https://tcgplayer-cdn.tcgplayer.com/product/617954_200w.jpg,62,24212,https://cpt.tcgcsv.com/6cZ6,2025-02-10T17:46:58.16,1,Common,ARK024,Attack Reaction,,Generic,,,0.1,0.2,0.35,0.15,,Normal,,2,1,3
617955,Shred (Blue),Shred Blue,https://tcgplayer-cdn.tcgplayer.com/product/617955_200w.jpg,62,24212,https://cpt.tcgcsv.com/7cZ6,2025-02-10T17:48:27.597,1,Rare,ARK025,Attack Reaction,,Assassin,,,0.6,0.6,0.6,0.64,,Normal,,3,0,3
617956,Up Sticks and Run (Blue),Up Sticks and Run Blue,https://tcgplayer-cdn.tcgplayer.com/product/617956_200w.jpg,62,24212,https://cpt.tcgcsv.com/8cZ6,2025-02-10T17:49:08.997,1,Rare,ARK026,Action,,Ninja;Assassin,,,0.48,0.5,1.0,0.5,,Normal,,2,0,3
