productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extCardSubType,extClass,extPower,extDefenseValue,extTalent,extCost,extPitchValue,extFlavorText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
664631,Stormwind Sheath,Stormwind Sheath,https://tcgplayer-cdn.tcgplayer.com/product/664631_200w.jpg,62,24532,https://cpt.tcgcsv.com/FSk7,2025-11-20T19:22:21.403,1,Common,PEN209,Defense Reaction,Attack,Pirate,,5,Elemental,1,1,<em>For Yoor she dances through twice-sundered skies.</em>,,,,,,
664633,Comeback Kicks,Comeback Kicks,https://tcgplayer-cdn.tcgplayer.com/product/664633_200w.jpg,62,24532,https://cpt.tcgcsv.com/HSk7,2025-11-21T20:39:11.543,1,Rare,PEN288,Equipment,Legs,Pirate,,1,Revered,,,,,,,,,
664634,Balance of Justice,Balance of Justice,https://tcgplayer-cdn.tcgplayer.com/product/664634_200w.jpg,62,24532,https://cpt.tcgcsv.com/JSk7,2025-11-20T19:41:13.507,1,Legendary,PEN309,Equipment,Head,Generic,,2,,,,,,,,,,
664636,Unyielding Grip,Unyielding Grip,https://tcgplayer-cdn.tcgplayer.com/product/664636_200w.jpg,62,24532,https://cpt.tcgcsv.com/LSk7,2025-11-20T19:50:09.303,1,Rare,PEN317,Equipment,Arms,Generic,,0,,,,,,,,,,
664637,Shelter from the Storm,Shelter from the Storm,https://tcgplayer-cdn.tcgplayer.com/product/664637_200w.jpg,62,24532,https://cpt.tcgcsv.com/MSk7,2025-11-20T19:52:51.003,1,Legendary,PEN321,Defense Reaction,,Generic,,4,,1,0,,,,,,,
664844,Compendium of Rathe Booster Box,Compendium of Rathe Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/664844_200w.jpg,62,24532,https://cpt.tcgcsv.com/VXk7,2025-11-25T13:54:13.267,1,,,,,,,,,,,,129.81,134.95,148.88,138.83,,Normal
664845,Compendium of Rathe Booster Pack,Compendium of Rathe Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/664845_200w.jpg,62,24532,https://cpt.tcgcsv.com/WXk7,2025-11-25T13:57:48.997,1,,,,,,,,,,,,6.0,6.0,6.0,,,Normal
664846,Compendium of Rathe Booster Box Case,Compendium of Rathe Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/664846_200w.jpg,62,24532,https://cpt.tcgcsv.com/XXk7,2025-11-25T13:56:50.997,1,,,,,,,,,,,,520.0,549.2,549.45,523.75,,Normal
675356,Mask of the Swarming Claw,Mask of the Swarming Claw,https://tcgplayer-cdn.tcgplayer.com/product/675356_200w.jpg,62,24532,https://cpt.tcgcsv.com/89q7,2026-01-27T14:42:59.06,1,Rare,PEN030,Equipment,Head,Ninja,,0,,,,,,,,,,
675357,Double Cross Strap,Double Cross Strap,https://tcgplayer-cdn.tcgplayer.com/product/675357_200w.jpg,62,24532,https://cpt.tcgcsv.com/99q7,2026-01-27T14:43:39.897,1,Rare,PEN031,Equipment,Chest,Ninja,,0,,,,,,,,,,
675359,Helm of Unity,Helm of Unity,https://tcgplayer-cdn.tcgplayer.com/product/675359_200w.jpg,62,24532,https://cpt.tcgcsv.com/c9q7,2026-01-27T14:45:37.07,1,Rare,PEN044,Equipment,Head,Warrior,,1,,,,,,,,,,
675361,Gauntlets of Unity,Gauntlets of Unity,https://tcgplayer-cdn.tcgplayer.com/product/675361_200w.jpg,62,24532,https://cpt.tcgcsv.com/f9q7,2026-01-27T14:46:12.87,1,Rare,PEN046,Equipment,Arms,Warrior,,1,,,,,,,,,,
675362,Ghost Protocol: Architect,Ghost Protocol Architect,https://tcgplayer-cdn.tcgplayer.com/product/675362_200w.jpg,62,24532,https://cpt.tcgcsv.com/g9q7,2026-01-27T14:38:08.583,1,Majestic,PEN046,Action,Attack,Mechanologist,1,3,,0,1,,,,,,,
675365,Ghost Protocol: Mainframe,Ghost Protocol Mainframe,https://tcgplayer-cdn.tcgplayer.com/product/675365_200w.jpg,62,24532,https://cpt.tcgcsv.com/k9q7,2026-01-27T14:52:49.59,1,Majestic,PEN046,Action,Attack,Mechanologist,1,3,,0,3,,,,,,,
675366,Teklo Trebuchet 2000,Teklo Trebuchet 2000,https://tcgplayer-cdn.tcgplayer.com/product/675366_200w.jpg,62,24532,https://cpt.tcgcsv.com/l9q7,2026-01-27T15:12:18.84,1,Majestic,PEN066,Action,Attack,Mechanologist,1,3,,0,3,,,,,,,
675367,Aetherstorm Wellingtons,Aetherstorm Wellingtons,https://tcgplayer-cdn.tcgplayer.com/product/675367_200w.jpg,62,24532,https://cpt.tcgcsv.com/m9q7,2026-01-27T15:15:42.06,1,Rare,PEN110,Equipment,Legs,Wizard,,0,,,,,,,,,,
675368,Frost Spike,Frost Spike,https://tcgplayer-cdn.tcgplayer.com/product/675368_200w.jpg,62,24532,https://cpt.tcgcsv.com/n9q7,2026-01-27T15:20:29.023,1,Rare,PEN226,Instant,Legs,Wizard,,,Ice,0,3,,,,,,,
675369,Enflame the Firebrand,Enflame the Firebrand,https://tcgplayer-cdn.tcgplayer.com/product/675369_200w.jpg,62,24532,https://cpt.tcgcsv.com/p9q7,2026-01-27T15:23:07.133,1,Rare,PEN250,Action,Attack,Ninja,2,3,Draconic,0,1,,,,,,,
675370,Fire that Burns Within,Fire that Burns Within,https://tcgplayer-cdn.tcgplayer.com/product/675370_200w.jpg,62,24532,https://cpt.tcgcsv.com/q9q7,2026-01-27T15:26:17.19,1,Rare,PEN255,Action,Attack,Ninja,2,2,Draconic,1,1,,,,,,,
675371,Crown of Providence,Crown of Providence,https://tcgplayer-cdn.tcgplayer.com/product/675371_200w.jpg,62,24532,https://cpt.tcgcsv.com/r9q7,2026-01-27T15:30:19.907,1,Legendary,PEN310,Equipment,Head,Generic,,2,,,,,,,,,,
675372,Fyendal's Spring Tunic,Fyendals Spring Tunic,https://tcgplayer-cdn.tcgplayer.com/product/675372_200w.jpg,62,24532,https://cpt.tcgcsv.com/s9q7,2026-01-27T15:32:33.85,1,Legendary,PEN311,Equipment,Chest,Generic,,1,,,,,,,,,,
675373,Stonewall Gauntlet,Stonewall Gauntlet,https://tcgplayer-cdn.tcgplayer.com/product/675373_200w.jpg,62,24532,https://cpt.tcgcsv.com/t9q7,2026-01-27T15:35:40.87,1,Legendary,PEN312,Equipment,Arms,Generic,,1,,,,,,,,,,
675374,Quickdodge Flexors,Quickdodge Flexors,https://tcgplayer-cdn.tcgplayer.com/product/675374_200w.jpg,62,24532,https://cpt.tcgcsv.com/v9q7,2026-01-27T15:37:34.64,1,Legendary,PEN313,Equipment,Legs,Generic,,0,,,,,,,,,,
675375,Command and Conquer,Command and Conquer,https://tcgplayer-cdn.tcgplayer.com/product/675375_200w.jpg,62,24532,https://cpt.tcgcsv.com/w9q7,2026-01-27T15:40:10.477,1,Legendary,PEN319,Action,Attack,Generic,6,3,,2,1,,,,,,,
675376,Enlightened Strike,Enlightened Strike,https://tcgplayer-cdn.tcgplayer.com/product/675376_200w.jpg,62,24532,https://cpt.tcgcsv.com/x9q7,2026-01-27T15:43:16.553,1,Legendary,PEN320,Action,Attack,Generic,5,3,,0,1,,,,,,,
676253,Buzzard Helm,Buzzard Helm,https://tcgplayer-cdn.tcgplayer.com/product/676253_200w.jpg,62,24532,https://cpt.tcgcsv.com/5wq7,2026-01-31T16:13:02.373,1,Rare,PEN002,,,,,,,,,,,,,,,
676254,Predatory Plating,Predatory Plating,https://tcgplayer-cdn.tcgplayer.com/product/676254_200w.jpg,62,24532,https://cpt.tcgcsv.com/6wq7,2026-01-31T16:13:02.467,1,Rare,PEN003,,,,,,,,,,,,,,,
676255,Skera Strapping,Skera Strapping,https://tcgplayer-cdn.tcgplayer.com/product/676255_200w.jpg,62,24532,https://cpt.tcgcsv.com/7wq7,2026-01-31T16:13:02.547,1,Rare,PEN004,,,,,,,,,,,,,,,
676256,Shamanic Shinbones,Shamanic Shinbones,https://tcgplayer-cdn.tcgplayer.com/product/676256_200w.jpg,62,24532,https://cpt.tcgcsv.com/8wq7,2026-01-31T16:13:02.61,1,Rare,PEN005,,,,,,,,,,,,,,,
676257,Rip Off The Top (Yellow),Rip Off The Top Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676257_200w.jpg,62,24532,https://cpt.tcgcsv.com/9wq7,2026-01-31T16:13:02.717,1,Rare,PEN008,,,,,,,,,,,,,,,
676258,Aggressive Pounce (Red),Aggressive Pounce Red,https://tcgplayer-cdn.tcgplayer.com/product/676258_200w.jpg,62,24532,https://cpt.tcgcsv.com/bwq7,2026-01-31T16:13:02.79,1,Common,PEN009,,,,,,,,,,,,,,,
676259,Aggressive Pounce (Yellow),Aggressive Pounce Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676259_200w.jpg,62,24532,https://cpt.tcgcsv.com/cwq7,2026-01-31T16:13:02.947,1,Common,PEN010,,,,,,,,,,,,,,,
676260,Aggressive Pounce (Blue),Aggressive Pounce Blue,https://tcgplayer-cdn.tcgplayer.com/product/676260_200w.jpg,62,24532,https://cpt.tcgcsv.com/dwq7,2026-01-31T16:13:03.023,1,Common,PEN011,,,,,,,,,,,,,,,
676261,Bear Hug (Red),Bear Hug Red,https://tcgplayer-cdn.tcgplayer.com/product/676261_200w.jpg,62,24532,https://cpt.tcgcsv.com/fwq7,2026-01-31T16:13:03.113,1,Common,PEN012,,,,,,,,,,,,,,,
676262,Bear Hug (Yellow),Bear Hug Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676262_200w.jpg,62,24532,https://cpt.tcgcsv.com/gwq7,2026-01-31T16:13:03.19,1,Common,PEN013,,,,,,,,,,,,,,,
676263,Bear Hug (Blue),Bear Hug Blue,https://tcgplayer-cdn.tcgplayer.com/product/676263_200w.jpg,62,24532,https://cpt.tcgcsv.com/hwq7,2026-01-31T16:13:03.277,1,Common,PEN014,,,,,,,,,,,,,,,
676264,Enclosed Firemind,Enclosed Firemind,https://tcgplayer-cdn.tcgplayer.com/product/676264_200w.jpg,62,24532,https://cpt.tcgcsv.com/jwq7,2026-01-31T16:13:03.36,1,Rare,PEN016,,,,,,,,,,,,,,,
676265,Volcanic Vice,Volcanic Vice,https://tcgplayer-cdn.tcgplayer.com/product/676265_200w.jpg,62,24532,https://cpt.tcgcsv.com/kwq7,2026-01-31T16:13:03.423,1,Rare,PEN018,,,,,,,,,,,,,,,
676266,Basalt Boots,Basalt Boots,https://tcgplayer-cdn.tcgplayer.com/product/676266_200w.jpg,62,24532,https://cpt.tcgcsv.com/lwq7,2026-01-31T16:13:03.5,1,Rare,PEN019,,,,,,,,,,,,,,,
676267,Valahai Riven (Yellow),Valahai Riven Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676267_200w.jpg,62,24532,https://cpt.tcgcsv.com/mwq7,2026-01-31T16:13:03.58,1,Rare,PEN022,,,,,,,,,,,,,,,
676268,Distant Rumbling (Red),Distant Rumbling Red,https://tcgplayer-cdn.tcgplayer.com/product/676268_200w.jpg,62,24532,https://cpt.tcgcsv.com/nwq7,2026-01-31T16:13:03.673,1,Common,PEN023,,,,,,,,,,,,,,,
676269,Distant Rumbling (Yellow),Distant Rumbling Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676269_200w.jpg,62,24532,https://cpt.tcgcsv.com/pwq7,2026-01-31T16:13:03.77,1,Common,PEN024,,,,,,,,,,,,,,,
676270,Distant Rumbling (Blue),Distant Rumbling Blue,https://tcgplayer-cdn.tcgplayer.com/product/676270_200w.jpg,62,24532,https://cpt.tcgcsv.com/qwq7,2026-01-31T16:13:03.85,1,Common,PEN025,,,,,,,,,,,,,,,
676271,Rites Of Earthlore (Red),Rites Of Earthlore Red,https://tcgplayer-cdn.tcgplayer.com/product/676271_200w.jpg,62,24532,https://cpt.tcgcsv.com/rwq7,2026-01-31T16:13:03.99,1,Common,PEN026,,,,,,,,,,,,,,,
676272,Rites Of Earthlore (Yellow),Rites Of Earthlore Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676272_200w.jpg,62,24532,https://cpt.tcgcsv.com/swq7,2026-01-31T16:13:04.103,1,Common,PEN027,,,,,,,,,,,,,,,
676273,Rites Of Earthlore (Blue),Rites Of Earthlore Blue,https://tcgplayer-cdn.tcgplayer.com/product/676273_200w.jpg,62,24532,https://cpt.tcgcsv.com/twq7,2026-01-31T16:13:04.18,1,Common,PEN028,,,,,,,,,,,,,,,
676274,Dyed Silk Sleeves,Dyed Silk Sleeves,https://tcgplayer-cdn.tcgplayer.com/product/676274_200w.jpg,62,24532,https://cpt.tcgcsv.com/vwq7,2026-01-31T16:13:04.28,1,Rare,PEN032,,,,,,,,,,,,,,,
676275,Two Steps Forward,Two Steps Forward,https://tcgplayer-cdn.tcgplayer.com/product/676275_200w.jpg,62,24532,https://cpt.tcgcsv.com/wwq7,2026-01-31T16:13:04.36,1,Rare,PEN033,,,,,,,,,,,,,,,
676276,Feign Vengeance (Blue),Feign Vengeance Blue,https://tcgplayer-cdn.tcgplayer.com/product/676276_200w.jpg,62,24532,https://cpt.tcgcsv.com/xwq7,2026-01-31T16:13:04.437,1,Rare,PEN036,,,,,,,,,,,,,,,
676277,Become The Bottle (Red),Become The Bottle Red,https://tcgplayer-cdn.tcgplayer.com/product/676277_200w.jpg,62,24532,https://cpt.tcgcsv.com/zwq7,2026-01-31T16:13:04.547,1,Common,PEN037,,,,,,,,,,,,,,,
676278,Become The Bottle (Yellow),Become The Bottle Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676278_200w.jpg,62,24532,https://cpt.tcgcsv.com/Bwq7,2026-01-31T16:13:04.64,1,Common,PEN038,,,,,,,,,,,,,,,
676279,Become The Bottle (Blue),Become The Bottle Blue,https://tcgplayer-cdn.tcgplayer.com/product/676279_200w.jpg,62,24532,https://cpt.tcgcsv.com/Cwq7,2026-01-31T16:13:04.77,1,Common,PEN039,,,,,,,,,,,,,,,
676280,Become The Cup (Red),Become The Cup Red,https://tcgplayer-cdn.tcgplayer.com/product/676280_200w.jpg,62,24532,https://cpt.tcgcsv.com/Dwq7,2026-01-31T16:13:04.87,1,Common,PEN040,,,,,,,,,,,,,,,
676281,Become The Cup (Yellow),Become The Cup Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676281_200w.jpg,62,24532,https://cpt.tcgcsv.com/Fwq7,2026-01-31T16:13:04.98,1,Common,PEN041,,,,,,,,,,,,,,,
676282,Become The Cup (Blue),Become The Cup Blue,https://tcgplayer-cdn.tcgplayer.com/product/676282_200w.jpg,62,24532,https://cpt.tcgcsv.com/Gwq7,2026-01-31T16:13:05.09,1,Common,PEN042,,,,,,,,,,,,,,,
676283,Plating Of Unity,Plating Of Unity,https://tcgplayer-cdn.tcgplayer.com/product/676283_200w.jpg,62,24532,https://cpt.tcgcsv.com/Hwq7,2026-01-31T16:13:05.183,1,Rare,PEN045,,,,,,,,,,,,,,,
676284,Pillar Of Unity,Pillar Of Unity,https://tcgplayer-cdn.tcgplayer.com/product/676284_200w.jpg,62,24532,https://cpt.tcgcsv.com/Jwq7,2026-01-31T16:13:05.29,1,Rare,PEN047,,,,,,,,,,,,,,,
676285,Rend Flesh (Blue),Rend Flesh Blue,https://tcgplayer-cdn.tcgplayer.com/product/676285_200w.jpg,62,24532,https://cpt.tcgcsv.com/Kwq7,2026-01-31T16:13:05.387,1,Rare,PEN050,,,,,,,,,,,,,,,
676286,Display Of Craftsmanship (Red),Display Of Craftsmanship Red,https://tcgplayer-cdn.tcgplayer.com/product/676286_200w.jpg,62,24532,https://cpt.tcgcsv.com/Lwq7,2026-01-31T16:13:05.513,1,Common,PEN051,,,,,,,,,,,,,,,
676287,Display Of Craftsmanship (Yellow),Display Of Craftsmanship Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676287_200w.jpg,62,24532,https://cpt.tcgcsv.com/Mwq7,2026-01-31T16:13:05.607,1,Common,PEN052,,,,,,,,,,,,,,,
676288,Display Of Craftsmanship (Blue),Display Of Craftsmanship Blue,https://tcgplayer-cdn.tcgplayer.com/product/676288_200w.jpg,62,24532,https://cpt.tcgcsv.com/Nwq7,2026-01-31T16:13:05.717,1,Common,PEN053,,,,,,,,,,,,,,,
676289,Cut N Carve (Red),Cut N Carve Red,https://tcgplayer-cdn.tcgplayer.com/product/676289_200w.jpg,62,24532,https://cpt.tcgcsv.com/Pwq7,2026-01-31T16:13:05.843,1,Common,PEN054,,,,,,,,,,,,,,,
676290,Cut N Carve (Yellow),Cut N Carve Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676290_200w.jpg,62,24532,https://cpt.tcgcsv.com/Qwq7,2026-01-31T16:13:05.967,1,Common,PEN055,,,,,,,,,,,,,,,
676291,Cut N Carve (Blue),Cut N Carve Blue,https://tcgplayer-cdn.tcgplayer.com/product/676291_200w.jpg,62,24532,https://cpt.tcgcsv.com/Rwq7,2026-01-31T16:13:06.06,1,Common,PEN056,,,,,,,,,,,,,,,
676292,Mbrio Base Vizier,Mbrio Base Vizier,https://tcgplayer-cdn.tcgplayer.com/product/676292_200w.jpg,62,24532,https://cpt.tcgcsv.com/Swq7,2026-01-31T16:13:06.17,1,Rare,PEN058,,,,,,,,,,,,,,,
676293,Mbrio Base Cortex,Mbrio Base Cortex,https://tcgplayer-cdn.tcgplayer.com/product/676293_200w.jpg,62,24532,https://cpt.tcgcsv.com/Twq7,2026-01-31T16:13:06.293,1,Rare,PEN059,,,,,,,,,,,,,,,
676294,Mbrio Base Digits,Mbrio Base Digits,https://tcgplayer-cdn.tcgplayer.com/product/676294_200w.jpg,62,24532,https://cpt.tcgcsv.com/Vwq7,2026-01-31T16:13:06.393,1,Rare,PEN060,,,,,,,,,,,,,,,
676295,Mbrio Base Walkers,Mbrio Base Walkers,https://tcgplayer-cdn.tcgplayer.com/product/676295_200w.jpg,62,24532,https://cpt.tcgcsv.com/Wwq7,2026-01-31T16:13:06.503,1,Rare,PEN061,,,,,,,,,,,,,,,
676296,Blast Rig (Red),Blast Rig Red,https://tcgplayer-cdn.tcgplayer.com/product/676296_200w.jpg,62,24532,https://cpt.tcgcsv.com/Xwq7,2026-01-31T16:13:06.613,1,Rare,PEN064,,,,,,,,,,,,,,,
676297,Speed Demon (Red),Speed Demon Red,https://tcgplayer-cdn.tcgplayer.com/product/676297_200w.jpg,62,24532,https://cpt.tcgcsv.com/Zwq7,2026-01-31T16:13:06.737,1,Rare,PEN065,,,,,,,,,,,,,,,
676298,Assembly Module (Blue),Assembly Module Blue,https://tcgplayer-cdn.tcgplayer.com/product/676298_200w.jpg,62,24532,https://cpt.tcgcsv.com/-wq7,2026-01-31T16:13:06.873,1,Rare,PEN067,,,,,,,,,,,,,,,
676299,Evo Beta Base Head (Blue),Evo Beta Base Head Blue,https://tcgplayer-cdn.tcgplayer.com/product/676299_200w.jpg,62,24532,https://cpt.tcgcsv.com/_wq7,2026-01-31T16:13:06.997,1,Rare,PEN068,,,,,,,,,,,,,,,
676300,Evo Beta Base Chest (Blue),Evo Beta Base Chest Blue,https://tcgplayer-cdn.tcgplayer.com/product/676300_200w.jpg,62,24532,https://cpt.tcgcsv.com/0xq7,2026-01-31T16:13:07.363,1,Rare,PEN069,,,,,,,,,,,,,,,
676301,Evo Beta Base Arms (Blue),Evo Beta Base Arms Blue,https://tcgplayer-cdn.tcgplayer.com/product/676301_200w.jpg,62,24532,https://cpt.tcgcsv.com/2xq7,2026-01-31T16:13:07.487,1,Rare,PEN070,,,,,,,,,,,,,,,
676302,Evo Beta Base Legs (Blue),Evo Beta Base Legs Blue,https://tcgplayer-cdn.tcgplayer.com/product/676302_200w.jpg,62,24532,https://cpt.tcgcsv.com/3xq7,2026-01-31T16:13:07.627,1,Rare,PEN071,,,,,,,,,,,,,,,
676303,Heavy Metal Hardcore (Red),Heavy Metal Hardcore Red,https://tcgplayer-cdn.tcgplayer.com/product/676303_200w.jpg,62,24532,https://cpt.tcgcsv.com/5xq7,2026-01-31T16:13:07.783,1,Common,PEN072,,,,,,,,,,,,,,,
676304,Heavy Metal Hardcore (Yellow),Heavy Metal Hardcore Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676304_200w.jpg,62,24532,https://cpt.tcgcsv.com/6xq7,2026-01-31T16:13:07.97,1,Common,PEN073,,,,,,,,,,,,,,,
676305,Heavy Metal Hardcore (Blue),Heavy Metal Hardcore Blue,https://tcgplayer-cdn.tcgplayer.com/product/676305_200w.jpg,62,24532,https://cpt.tcgcsv.com/7xq7,2026-01-31T16:13:08.127,1,Common,PEN074,,,,,,,,,,,,,,,
676306,Heart Wrencher (Red),Heart Wrencher Red,https://tcgplayer-cdn.tcgplayer.com/product/676306_200w.jpg,62,24532,https://cpt.tcgcsv.com/8xq7,2026-01-31T16:13:08.273,1,Common,PEN075,,,,,,,,,,,,,,,
676307,Heart Wrencher (Yellow),Heart Wrencher Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676307_200w.jpg,62,24532,https://cpt.tcgcsv.com/9xq7,2026-01-31T16:13:08.423,1,Common,PEN076,,,,,,,,,,,,,,,
676308,Heart Wrencher (Blue),Heart Wrencher Blue,https://tcgplayer-cdn.tcgplayer.com/product/676308_200w.jpg,62,24532,https://cpt.tcgcsv.com/bxq7,2026-01-31T16:13:08.567,1,Common,PEN077,,,,,,,,,,,,,,,
676309,Concealed Nerve Gas,Concealed Nerve Gas,https://tcgplayer-cdn.tcgplayer.com/product/676309_200w.jpg,62,24532,https://cpt.tcgcsv.com/cxq7,2026-01-31T16:13:08.723,1,Rare,PEN079,,,,,,,,,,,,,,,
676310,Concealed Pathogen,Concealed Pathogen,https://tcgplayer-cdn.tcgplayer.com/product/676310_200w.jpg,62,24532,https://cpt.tcgcsv.com/dxq7,2026-01-31T16:13:08.857,1,Rare,PEN080,,,,,,,,,,,,,,,
676311,Concealed Sedative,Concealed Sedative,https://tcgplayer-cdn.tcgplayer.com/product/676311_200w.jpg,62,24532,https://cpt.tcgcsv.com/fxq7,2026-01-31T16:13:08.983,1,Rare,PEN081,,,,,,,,,,,,,,,
676312,Rainbow Goo Trap (Red),Rainbow Goo Trap Red,https://tcgplayer-cdn.tcgplayer.com/product/676312_200w.jpg,62,24532,https://cpt.tcgcsv.com/gxq7,2026-01-31T16:13:09.137,1,Rare,PEN085,,,,,,,,,,,,,,,
676313,Courageous Crossing (Blue),Courageous Crossing Blue,https://tcgplayer-cdn.tcgplayer.com/product/676313_200w.jpg,62,24532,https://cpt.tcgcsv.com/hxq7,2026-01-31T16:13:09.317,1,Common,PEN086,,,,,,,,,,,,,,,
676314,Frail Swingline (Blue),Frail Swingline Blue,https://tcgplayer-cdn.tcgplayer.com/product/676314_200w.jpg,62,24532,https://cpt.tcgcsv.com/jxq7,2026-01-31T16:13:09.52,1,Common,PEN087,,,,,,,,,,,,,,,
676315,Quickening Sand (Blue),Quickening Sand Blue,https://tcgplayer-cdn.tcgplayer.com/product/676315_200w.jpg,62,24532,https://cpt.tcgcsv.com/kxq7,2026-01-31T16:13:09.667,1,Common,PEN088,,,,,,,,,,,,,,,
676316,Spellbane Trap (Red),Spellbane Trap Red,https://tcgplayer-cdn.tcgplayer.com/product/676316_200w.jpg,62,24532,https://cpt.tcgcsv.com/lxq7,2026-01-31T16:13:09.827,1,Common,PEN089,,,,,,,,,,,,,,,
676317,Spellbane Trap (Yellow),Spellbane Trap Yellow,https://tcgplayer-cdn.tcgplayer.com/product/676317_200w.jpg,62,24532,https://cpt.tcgcsv.com/mxq7,2026-01-31T16:13:09.97,1,Common,PEN090,,,,,,,,,,,,,,,
676318,Spellbane Trap (Blue),Spellbane Trap Blue,https://tcgplayer-cdn.tcgplayer.com/product/676318_200w.jpg,62,24532,https://cpt.tcgcsv.com/nxq7,2026-01-31T16:13:10.113,1,Common,PEN091,,,,,,,,,,,,,,,
676319,Helm Of Might And Magic,Helm Of Might And Magic,https://tcgplayer-cdn.tcgplayer.com/product/676319_200w.jpg,62,24532,https://cpt.tcgcsv.com/pxq7,2026-01-31T16:13:10.293,1,Rare,PEN093,,,,,,,,,,,,,,,
676320,Runebleed Robe,Runebleed Robe,https://tcgplayer-cdn.tcgplayer.com/product/676320_200w.jpg,62,24532,https://cpt.tcgcsv.com/qxq7,2026-01-31T16:13:10.447,1,Rare,PEN094,,,,,,,,,,,,,,,
676321,Beckoning Haunt,Beckoning Haunt,https://tcgplayer-cdn.tcgplayer.com/product/676321_200w.jpg,62,24532,https://cpt.tcgcsv.com/rxq7,2026-01-31T16:13:10.603,1,Rare,PEN095,,,,,,,,,,,,,,,
